begin,end,origin
1998-6-26 7:48,1998-6-26 19:39,Chi
1997-10-27 10:34,1997-10-28 4:57,Chi
1998-11-30 10:07,1998-11-30 18:20,Chi
1999-2-19 23:48,1999-2-20 18:33,Chi
1999-3-19 13:16,1999-3-20 6:09,Chi
1999-5-16 9:13,1999-5-18 0:18,Chi
1999-7-5 20:39,1999-7-6 15:37,Chi
1999-9-15 8:57,1999-9-15 16:20,Chi
1999-11-12 19:00,1999-11-13 20:26,Chi
1999-12-26 8:33,1999-12-26 22:39,Chi
1999-12-27 19:07,1999-12-28 2:00,Chi
2000-2-11 16:17,2000-2-11 23:00,Chi
2000-3-19 17:49,2000-3-20 6:07,Chi
2000-4-18 20:33,2000-4-19 2:19,Chi
2000-4-19 5:24,2000-4-19 12:00,Chi
2000-4-24 4:25,2000-4-24 13:39,Chi
2000-5-13 17:14,2000-5-14 11:48,Chi
2000-6-11 9:22,2000-6-11 17:28,Chi
2000-6-18 12:40,2000-6-18 18:20,Chi
2000-7-11 3:09,2000-7-11 13:00,Chi
2000-7-27 9:04,2000-7-27 20:53,Chi
2000-11-28 22:27,2000-11-29 20:57,Chi
2001-3-4 5:56,2001-3-4 13:00,Chi
2001-4-1 5:26,2001-4-2 19:50,Chi
2001-5-3 12:00,2001-5-4 9:04,Chi
2001-5-7 22:16,2001-5-8 10:30,Chi
2001-8-15 19:25,2001-8-16 14:37,Chi
2001-9-1 4:00,2001-9-1 15:58,Chi
2001-9-25 7:49,2001-9-25 19:55,Chi
2001-10-4 21:58,2001-10-5 9:13,Chi
2001-10-29 22:12,2001-10-31 14:05,Chi
2001-11-5 20:19,2001-11-6 5:26,Chi
2001-12-13 5:24,2001-12-14 10:03,Chi
2002-3-22 13:50,2002-3-23 11:27,Chi
2002-3-23 17:53,2002-3-24 3:00,Chi
2002-4-12 1:39,2002-4-13 15:20,Chi
2002-7-31 17:33,2002-8-1 5:27,Chi
2002-9-8 4:12,2002-9-8 19:43,Chi
2002-9-19 21:07,2002-9-20 21:39,Chi
2002-11-8 8:37,2002-11-9 17:21,Chi
2003-2-1 18:49,2003-2-2 13:07,Chi
2003-5-29 13:00,2003-5-29 18:04,Chi
2003-5-30 22:25,2003-5-31 20:01,Chi
2003-6-17 19:03,2003-6-18 9:04,Chi
2003-7-23 14:33,2003-7-24 14:28,Chi
2003-8-18 0:24,2003-8-19 4:34,Chi
2004-1-24 8:54,2004-1-24 23:38,Chi
2004-4-27 4:48,2004-4-28 13:15,Chi
2004-8-1 15:49,2004-8-2 8:37,Chi
2005-8-8 23:33,2005-8-9 11:33,Chi
2005-8-24 17:55,2005-8-25 12:45,Chi
2005-9-15 15:56,2005-9-16 17:37,Chi
2005-9-21 1:01,2005-9-21 17:10,Chi
2006-6-17 21:40,2006-6-18 7:39,Chi
2006-11-1 22:12,2006-11-2 14:24,Chi
2007-9-19 17:36,2007-9-20 3:54,Chi
2008-4-15 12:40,2008-4-16 0:04,Chi
2008-7-25 13:17,2008-7-25 23:12,Chi
2009-10-16 22:30,2009-10-17 8:18,Chi
2009-10-17 20:37,2009-10-18 15:28,Chi
2010-4-9 19:07,2010-4-10 10:25,Chi
2010-4-30 6:09,2010-5-1 7:12,Chi
2011-10-22 21:33,2011-10-23 14:55,Chi
2011-10-28 23:45,2011-10-29 13:12,Chi
2011-11-7 16:38,2011-11-7 22:38,Chi
2011-11-29 1:50,2011-11-29 7:43,Chi
2012-3-6 6:30,2012-3-6 13:26,Chi
2012-7-5 1:14,2012-7-5 10:11,Chi
2012-8-16 21:49,2012-8-18 3:38,Chi
2012-9-6 18:27,2012-9-6 23:06,Chi
2012-12-14 7:34,2012-12-14 17:35,Chi
2013-2-14 17:40,2013-2-16 11:35,Chi
2014-1-30 15:22,2014-2-1 7:30,Chi
2014-2-12 9:20,2014-2-13 10:13,Chi
2014-2-13 13:42,2014-2-14 4:44,Chi
2014-12-24 11:54,2014-12-26 15:54,Chi
2015-1-2 14:34,2015-1-2 20:25,Chi
2015-1-3 17:17,2015-1-4 6:34,Chi
2015-1-11 10:54,2015-1-11 19:23,Chi
2015-3-21 20:18,2015-3-22 2:06,Chi
2015-4-30 5:33,2015-5-1 12:36,Chi
2015-5-7 21:42,2015-5-8 3:00,Chi
2015-5-18 22:36,2015-5-19 1:55,Chi
2015-5-20 17:00,2015-5-21 6:17,Chi
2015-6-17 5:17,2015-6-18 0:08,Chi
2015-6-21 21:32,2015-6-22 5:08,Chi
2015-6-25 9:00,2015-6-26 6:25,Chi
2015-8-15 20:42,2015-8-16 6:51,Chi
2015-8-21 22:36,2015-8-22 13:55,Chi
2015-8-27 9:00,2015-8-28 17:17,Chi
2015-9-17 8:55,2015-9-17 19:44,Chi
1999-8-1 4:14,1999-8-2 4:12,Chi
1999-8-21 15:18,1999-8-23 14:06,Chi
2007-3-24 3:06,2007-3-25 3:00,Lepping
1998-1-9 9:17,1998-1-9 20:38,Chinchilla
1998-10-2 15:10,1998-10-2 23:05,Chinchilla
2001-6-27 4:40,2001-6-29 4:00,Chinchilla
2008-5-23 0:12,2008-5-23 12:47,Chinchilla
2009-4-22 14:19,2009-4-22 20:45,Chinchilla
2004-12-5 8:45,2004-12-5 18:15,Turc
2010-12-28 4:10,2010-12-28 16:55,Turc
2014-2-27 22:00,2014-2-28 16:35,Turc
1997-11-24 0:00,1997-11-24 21:00,RC
1998-1-20 18:00,1998-1-21 3:00,RC
1998-8-5 13:00,1998-8-6 12:00,RC
1998-8-12 1:00,1998-8-14 4:00,RC
1998-11-30 23:00,1998-12-1 4:00,RC
1998-12-29 18:00,1998-12-30 18:00,RC
1999-2-13 19:00,1999-2-14 15:00,RC
1999-2-17 0:00,1999-2-17 11:00,RC
1999-4-21 4:00,1999-4-21 12:00,RC
1999-7-31 2:00,1999-8-1 0:00,RC
1999-8-12 19:00,1999-8-13 7:00,RC
2000-3-19 2:00,2000-3-19 10:00,RC
2000-5-15 19:00,2000-5-16 5:00,RC
2000-5-16 9:00,2000-5-16 14:00,RC
2000-6-4 22:00,2000-6-5 6:00,RC
2000-6-13 13:00,2000-6-13 18:00,RC
2000-6-13 22:00,2000-6-14 1:00,RC
2001-3-28 18:00,2001-3-28 23:00,RC
2001-4-15 19:00,2001-4-16 1:00,RC
2001-7-13 20:00,2001-7-14 1:00,RC
2001-11-20 9:00,2001-11-21 17:00,RC
2001-12-27 19:00,2001-12-29 4:00,RC
2002-9-7 10:00,2002-9-7 16:00,RC
2005-6-16 23:00,2005-6-17 17:00,RC
2005-8-24 8:00,2005-8-24 11:00,RC
2006-12-15 17:00,2006-12-16 17:00,RC
2009-1-19 2:00,2009-1-19 5:00,RC
2010-2-22 13:00,2010-2-22 22:00,RC
2011-9-16 19:00,2011-9-17 3:00,RC
2014-4-20 1:00,2014-4-20 10:00,RC
2014-9-17 2:00,2014-9-18 20:00,RC
2015-3-16 13:00,2015-3-16 22:00,RC
1998-10-3 14:54,1998-10-4 9:00,LJ
1999-6-26 2:47,1999-6-26 19:00,LJ
1999-8-3 21:17,1999-8-4 8:00,LJ
2001-3-27 5:02,2001-3-27 10:09,LJ
2001-4-7 19:00,2001-4-8 6:51,LJ
2001-11-15 21:00,2001-11-16 10:30,LJ
2003-11-4 11:00,2003-11-4 16:00,LJ
